drug_name,batch_id,manufacturer,manufacture_date,expiry_date,quantity_received,current_stock,reorder_point,unit_price,region,cold_chain_required
Ibuprofen,IBU-2025-013,MediCore Labs,2025-03-17,2026-09-08,1000,900,133,31.41,South,No
Amlodipine,AML-2024-016,ABC Pharma,2024-08-30,2027-08-30,10000,2189,1421,31.76,East,No
Ibuprofen,IBU-2024-014,Vitalis Pharma,2025-03-23,2026-09-14,5000,4679,620,35.5,East,No
Ciprofloxacin,CIP-2025-016,Vitalis Pharma,2022-08-09,2024-08-08,8000,3290,726,74.94,Central,No
Insulin,INS-2024-009,CarePlus Inc,2023-11-09,2025-05-02,2000,834,249,354.87,West,Yes
Ciprofloxacin,CIP-2024-017,Sunrise Biotech,2023-04-13,2024-10-04,2000,1457,244,65.3,South,No
Metformin,MET-2024-010,CarePlus Inc,2022-12-26,2024-06-18,10000,2313,1068,47.81,South,No
Salbutamol,SAL-2024-009,Sunrise Biotech,2023-07-07,2024-07-06,10000,8791,996,104.9,East,Yes
Omeprazole,OME-2023-010,PharmaPlus Ltd,2024-11-11,2026-05-05,8000,7477,805,49.86,North,No
Atorvastatin,ATO-2023-009,CarePlus Inc,2023-10-10,2026-10-09,10000,6091,1324,82.11,West,No
Amlodipine,AML-2023-017,CarePlus Inc,2023-06-07,2024-06-06,5000,2480,490,38.86,Central,Yes
Amoxicillin,AMO-2025-010,CarePlus Inc,2023-04-17,2025-04-16,5000,2680,406,69.45,West,No
Amlodipine,AML-2023-018,PharmaPlus Ltd,2025-02-28,2026-02-28,1000,350,95,39.02,East,No
Ciprofloxacin,CIP-2023-018,Vitalis Pharma,2024-12-22,2026-06-15,10000,5305,811,73.96,East,No
Ciprofloxacin,CIP-2024-019,CarePlus Inc,2024-12-22,2026-06-15,10000,2970,1159,76.69,East,No
Amlodipine,AML-2024-019,Sunrise Biotech,2024-07-22,2027-07-22,1000,160,109,35.92,North,No
Atorvastatin,ATO-2023-010,MediCore Labs,2024-02-12,2027-02-11,8000,7417,1196,95.06,East,Yes
Amoxicillin,AMO-2023-011,ABC Pharma,2023-07-01,2026-06-30,10000,5996,958,71.35,South,No
Amlodipine,AML-2024-020,Sunrise Biotech,2025-06-27,2026-12-19,5000,2168,697,34.31,West,Yes
Amlodipine,AML-2024-021,CarePlus Inc,2023-06-16,2026-06-15,1000,794,135,35.26,East,No
Metformin,MET-2024-011,PharmaPlus Ltd,2022-11-22,2024-11-21,2000,1785,279,36.68,West,No
Insulin,INS-2024-010,CarePlus Inc,2022-07-01,2023-07-01,2000,1822,251,312.0,Central,Yes
Azithromycin,AZI-2023-018,MediCore Labs,2023-06-16,2026-06-15,3000,2333,283,45.93,Central,No
Atorvastatin,ATO-2023-011,CarePlus Inc,2025-06-28,2027-06-28,2000,1091,189,73.89,Central,Yes
Amlodipine,AML-2025-022,ABC Pharma,2023-11-24,2026-11-23,2000,1623,226,37.35,North,Yes
Omeprazole,OME-2025-011,PharmaPlus Ltd,2023-10-18,2026-10-17,2000,1163,280,49.61,South,No
Omeprazole,OME-2024-012,CarePlus Inc,2024-01-29,2027-01-28,3000,1471,449,60.65,Central,No
Amlodipine,AML-2025-023,CarePlus Inc,2022-07-29,2023-07-29,8000,1493,1052,41.99,East,No
Ciprofloxacin,CIP-2024-020,MediCore Labs,2022-08-09,2024-01-31,10000,4824,888,60.34,West,No
Metformin,MET-2025-012,Vitalis Pharma,2023-08-06,2025-08-05,5000,2117,488,36.63,West,No
Ibuprofen,IBU-2024-015,PharmaPlus Ltd,2024-04-14,2026-04-14,8000,3406,753,31.43,East,No
Metformin,MET-2024-013,CarePlus Inc,2024-02-03,2025-07-27,8000,7425,689,47.96,South,Yes
Salbutamol,SAL-2024-010,Vitalis Pharma,2022-09-10,2025-09-09,3000,710,249,103.19,Central,Yes
Omeprazole,OME-2025-013,ABC Pharma,2025-03-22,2028-03-21,8000,2141,1017,60.87,Central,No
Amoxicillin,AMO-2025-012,CarePlus Inc,2024-12-24,2026-06-17,1000,680,140,61.59,North,No
Amlodipine,AML-2024-024,MediCore Labs,2024-02-24,2026-02-23,3000,893,247,31.71,North,No
Omeprazole,OME-2025-014,ABC Pharma,2023-01-30,2026-01-29,8000,5652,866,50.61,Central,Yes
Atorvastatin,ATO-2025-012,MediCore Labs,2025-01-29,2028-01-29,8000,1853,1000,77.09,Central,No
Amlodipine,AML-2024-025,ABC Pharma,2022-06-20,2023-06-20,1000,324,88,36.46,North,No
Salbutamol,SAL-2023-011,PharmaPlus Ltd,2023-06-19,2024-06-18,3000,2307,389,104.1,Central,Yes
Salbutamol,SAL-2024-012,CarePlus Inc,2025-03-17,2028-03-16,10000,8958,977,107.04,North,Yes
Salbutamol,SAL-2023-013,ABC Pharma,2022-07-01,2023-07-01,5000,1994,655,85.48,North,Yes
Omeprazole,OME-2023-015,Sunrise Biotech,2024-06-22,2027-06-22,5000,3457,450,62.66,Central,No
Amlodipine,AML-2025-026,PharmaPlus Ltd,2025-02-01,2028-02-01,5000,4529,674,37.45,South,No
Ibuprofen,IBU-2025-016,CarePlus Inc,2024-04-11,2025-04-11,2000,1261,203,30.86,North,No
Cetirizine,CET-2025-012,PharmaPlus Ltd,2023-09-23,2026-09-22,3000,2102,307,21.57,West,No
Atorvastatin,ATO-2024-013,MediCore Labs,2023-03-29,2025-03-28,8000,5581,1151,80.32,North,No
Ciprofloxacin,CIP-2024-021,PharmaPlus Ltd,2023-07-16,2025-01-06,3000,1906,382,67.57,Central,No
Ibuprofen,IBU-2023-017,PharmaPlus Ltd,2024-12-28,2025-12-28,8000,6362,1072,29.1,Central,No
Ciprofloxacin,CIP-2024-022,Vitalis Pharma,2023-07-19,2025-01-09,2000,607,185,72.17,East,No
Atorvastatin,ATO-2024-014,PharmaPlus Ltd,2025-04-25,2026-10-17,2000,371,299,80.98,Central,No
Metformin,MET-2023-014,MediCore Labs,2024-03-08,2025-03-08,3000,1123,367,37.13,West,No
Atorvastatin,ATO-2025-015,Vitalis Pharma,2023-08-12,2025-08-11,3000,1472,438,90.41,West,No
Ibuprofen,IBU-2024-018,MediCore Labs,2023-06-06,2026-06-05,1000,172,82,30.33,North,Yes
Omeprazole,OME-2025-016,CarePlus Inc,2024-08-22,2025-08-22,10000,9174,980,58.81,North,No
Amlodipine,AML-2024-027,MediCore Labs,2024-12-05,2026-05-29,3000,2767,448,33.83,Central,No
Ibuprofen,IBU-2023-019,Vitalis Pharma,2022-07-27,2023-07-27,3000,2337,389,32.82,East,Yes
Paracetamol,PAR-2023-019,Sunrise Biotech,2022-06-12,2023-12-04,10000,7485,1212,25.81,North,No
Omeprazole,OME-2024-017,Sunrise Biotech,2024-08-07,2025-08-07,3000,1605,275,53.43,East,No
Amlodipine,AML-2024-028,CarePlus Inc,2023-07-05,2024-07-04,2000,1784,190,41.31,North,No
Salbutamol,SAL-2024-014,ABC Pharma,2024-07-28,2025-07-28,10000,2101,1480,89.71,South,Yes
Amoxicillin,AMO-2023-013,CarePlus Inc,2024-06-19,2025-12-11,3000,981,251,66.85,West,No
Omeprazole,OME-2024-018,PharmaPlus Ltd,2024-09-21,2026-03-15,2000,340,239,54.39,South,No
Ibuprofen,IBU-2023-020,Sunrise Biotech,2024-12-21,2027-12-21,1000,272,115,32.68,West,No
Ciprofloxacin,CIP-2024-023,ABC Pharma,2023-11-10,2025-05-03,3000,1486,294,63.15,West,No
Azithromycin,AZI-2024-019,PharmaPlus Ltd,2023-04-29,2024-04-28,10000,9328,901,49.14,West,Yes
Ciprofloxacin,CIP-2025-024,MediCore Labs,2024-11-24,2025-11-24,8000,3032,841,59.29,East,Yes
Amoxicillin,AMO-2025-014,MediCore Labs,2023-03-10,2024-08-31,8000,6130,1038,57.54,East,No
Azithromycin,AZI-2025-020,PharmaPlus Ltd,2023-12-13,2025-06-05,2000,519,253,48.98,Central,No
Atorvastatin,ATO-2023-016,ABC Pharma,2022-10-13,2025-10-12,10000,8829,1162,80.34,East,No
Amlodipine,AML-2023-029,ABC Pharma,2024-09-16,2027-09-16,2000,1695,197,33.45,West,No
Paracetamol,PAR-2025-020,Sunrise Biotech,2022-06-10,2024-06-09,8000,7165,1182,23.04,South,No
Salbutamol,SAL-2024-015,CarePlus Inc,2024-07-21,2025-07-21,3000,2544,440,94.36,South,Yes
Ciprofloxacin,CIP-2025-025,Vitalis Pharma,2023-03-03,2024-03-02,2000,1847,191,62.06,North,No
Ibuprofen,IBU-2025-021,ABC Pharma,2022-07-10,2023-07-10,10000,7409,982,34.54,East,Yes
Ciprofloxacin,CIP-2025-026,PharmaPlus Ltd,2022-12-28,2024-12-27,1000,723,83,60.9,South,Yes
Atorvastatin,ATO-2024-017,ABC Pharma,2023-02-05,2024-02-05,5000,4287,589,77.46,Central,No
Insulin,INS-2024-011,CarePlus Inc,2024-08-21,2026-02-12,1000,900,107,328.37,Central,Yes
Atorvastatin,ATO-2023-018,PharmaPlus Ltd,2022-09-15,2024-09-14,3000,1411,416,89.17,Central,No
Cetirizine,CET-2023-013,Sunrise Biotech,2025-04-25,2026-10-17,10000,8974,974,22.59,Central,No
Metformin,MET-2025-015,MediCore Labs,2022-10-20,2024-10-19,5000,1553,634,38.71,North,Yes
Cetirizine,CET-2025-014,ABC Pharma,2022-08-22,2023-08-22,10000,6467,1442,23.91,West,No
Atorvastatin,ATO-2024-019,ABC Pharma,2025-05-01,2026-05-01,5000,1696,413,74.71,North,No
Amlodipine,AML-2023-030,ABC Pharma,2025-04-18,2027-04-18,1000,523,117,33.06,South,No
Ciprofloxacin,CIP-2024-027,PharmaPlus Ltd,2024-01-12,2026-01-11,2000,1477,263,64.1,South,Yes
Atorvastatin,ATO-2023-020,CarePlus Inc,2024-07-31,2026-01-22,8000,5746,898,85.15,Central,Yes
Omeprazole,OME-2023-019,MediCore Labs,2024-04-14,2025-10-06,2000,1119,213,59.16,East,No
Metformin,MET-2023-016,Sunrise Biotech,2024-03-28,2027-03-28,3000,1133,447,39.55,South,No
Insulin,INS-2023-012,Vitalis Pharma,2024-05-13,2027-05-13,10000,1996,1071,330.23,Central,Yes
Salbutamol,SAL-2025-016,MediCore Labs,2023-04-13,2026-04-12,3000,2053,269,86.47,North,Yes
Atorvastatin,ATO-2025-021,ABC Pharma,2025-01-29,2027-01-29,10000,7168,1440,75.05,East,No
Paracetamol,PAR-2025-021,Vitalis Pharma,2023-01-27,2026-01-26,5000,4600,600,25.63,West,No
Atorvastatin,ATO-2023-022,PharmaPlus Ltd,2024-12-13,2027-12-13,3000,2185,301,81.38,Central,Yes
Amlodipine,AML-2023-031,CarePlus Inc,2025-03-20,2028-03-19,5000,1950,587,39.93,East,Yes
Atorvastatin,ATO-2025-023,MediCore Labs,2022-11-28,2024-11-27,3000,2775,367,77.82,West,No
Amoxicillin,AMO-2023-015,ABC Pharma,2022-09-06,2024-09-05,8000,6933,807,63.66,West,No
Ciprofloxacin,CIP-2024-028,Vitalis Pharma,2025-04-25,2028-04-24,5000,2606,414,71.69,Central,Yes
Paracetamol,PAR-2025-022,MediCore Labs,2022-12-20,2025-12-19,3000,1652,376,29.46,North,No
Amoxicillin,AMO-2024-016,PharmaPlus Ltd,2024-11-18,2026-11-18,10000,5741,1371,57.07,West,No
Metformin,MET-2024-017,Vitalis Pharma,2023-05-26,2024-05-25,10000,8656,1282,45.85,North,Yes
Amlodipine,AML-2025-032,Sunrise Biotech,2025-04-13,2026-10-05,8000,6916,870,32.13,South,No
Metformin,MET-2025-018,CarePlus Inc,2022-08-26,2025-08-25,1000,780,101,44.29,Central,No
Ibuprofen,IBU-2023-022,Vitalis Pharma,2022-07-02,2023-07-02,2000,580,267,32.1,West,No
Atorvastatin,ATO-2024-024,Vitalis Pharma,2023-02-04,2024-07-28,2000,1129,231,72.7,South,No
Insulin,INS-2024-013,PharmaPlus Ltd,2024-10-29,2025-10-29,10000,1599,1339,318.99,Central,Yes
Salbutamol,SAL-2024-017,Sunrise Biotech,2023-05-13,2024-05-12,3000,1958,420,106.59,South,Yes
Azithromycin,AZI-2023-021,PharmaPlus Ltd,2024-07-29,2025-07-29,1000,326,107,50.81,East,No
Omeprazole,OME-2025-020,MediCore Labs,2023-10-24,2025-04-16,1000,277,121,52.36,North,No
